CustomerID,CustomerName,Region,SignupDate,TransactionID,ProductID,TransactionDate,Quantity,TotalValue,Price,total_spend,num_transactions,avg_transaction_value,transaction_frequency,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,T00015,P054,2024-01-19 03:12:55,2,114.6,57.3,3354.5200000000004,5,670.9040000000001,5,0
C0001,Lawrence Carroll,South America,2022-07-10,T00932,P022,2024-09-17 09:01:18,3,412.62,137.54,3354.5200000000004,5,670.9040000000001,5,0
C0001,Lawrence Carroll,South America,2022-07-10,T00085,P096,2024-04-08 00:01:00,2,614.94,307.47,3354.5200000000004,5,670.9040000000001,5,0
C0001,Lawrence Carroll,South America,2022-07-10,T00445,P083,2024-05-07 03:11:44,2,911.44,455.72,3354.5200000000004,5,670.9040000000001,5,0
C0001,Lawrence Carroll,South America,2022-07-10,T00436,P029,2024-11-02 17:04:16,3,1300.92,433.64,3354.5200000000004,5,670.9040000000001,5,0
C0002,Elizabeth Lutz,Asia,2022-02-13,T00155,P095,2024-07-12 10:18:13,2,454.52,227.26,1862.74,4,465.685,4,0
C0002,Elizabeth Lutz,Asia,2022-02-13,T00129,P004,2024-06-11 23:59:08,4,382.76,95.69,1862.74,4,465.685,4,0
C0002,Elizabeth Lutz,Asia,2022-02-13,T00148,P019,2024-02-28 07:44:21,2,770.74,385.37,1862.74,4,465.685,4,0
C0002,Elizabeth Lutz,Asia,2022-02-13,T00675,P071,2024-12-03 01:41:41,2,254.72,127.36,1862.74,4,465.685,4,0
C0003,Michael Rivera,South America,2024-03-07,T00462,P025,2024-06-03 19:17:36,3,853.86,284.62,2725.38,4,681.345,4,0
C0003,Michael Rivera,South America,2024-03-07,T00143,P006,2024-06-16 05:24:04,3,363.96,121.32,2725.38,4,681.345,4,0
C0003,Michael Rivera,South America,2024-03-07,T00812,P035,2024-02-18 02:50:37,4,122.36,30.59,2725.38,4,681.345,4,0
C0003,Michael Rivera,South America,2024-03-07,T00648,P002,2024-08-24 18:54:04,4,1385.2,346.3,2725.38,4,681.345,4,0
C0004,Kathleen Rodriguez,South America,2022-10-09,T00004,P049,2024-07-19 10:56:13,4,591.8,147.95,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00744,P053,2024-03-11 09:25:22,4,1099.76,274.94,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00251,P038,2024-08-03 06:21:11,3,441.66,147.22,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00456,P025,2024-12-12 03:38:36,2,569.24,284.62,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00534,P097,2024-06-25 22:10:47,3,958.02,319.34,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00847,P024,2024-10-24 16:28:30,1,338.66,338.66,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T01000,P008,2024-02-28 10:16:35,2,293.7,146.85,5354.88,8,669.36,8,1
C0004,Kathleen Rodriguez,South America,2022-10-09,T00379,P077,2024-12-23 14:13:52,4,1062.04,265.51,5354.88,8,669.36,8,1
C0005,Laura Weber,Asia,2022-08-15,T00331,P025,2024-05-05 13:03:41,3,853.86,284.62,2034.24,3,678.08,3,0
C0005,Laura Weber,Asia,2022-08-15,T00348,P039,2024-03-15 04:08:59,2,861.18,430.59,2034.24,3,678.08,3,0
C0005,Laura Weber,Asia,2022-08-15,T00789,P012,2024-11-04 00:30:22,2,319.2,159.6,2034.24,3,678.08,3,0
C0006,Brittany Palmer,South America,2024-01-07,T00019,P040,2024-06-05 01:19:28,2,306.38,153.19,4227.57,4,1056.8925,4,0
C0006,Brittany Palmer,South America,2024-01-07,T00024,P084,2024-06-13 10:35:07,3,1013.73,337.91,4227.57,4,1056.8925,4,1
C0006,Brittany Palmer,South America,2024-01-07,T00813,P086,2024-10-07 04:07:35,3,1322.1,440.7,4227.57,4,1056.8925,4,1
C0006,Brittany Palmer,South America,2024-01-07,T00259,P020,2024-01-25 09:29:44,4,1585.36,396.34,4227.57,4,1056.8925,4,1
C0007,Paul Graves,Asia,2022-06-18,T00718,P050,2024-02-20 09:22:52,1,437.65,437.65,2579.8199999999997,3,859.9399999999999,3,0
C0007,Paul Graves,Asia,2022-06-18,T00645,P096,2024-08-25 08:05:44,3,922.41,307.47,2579.8199999999997,3,859.9399999999999,3,0
C0007,Paul Graves,Asia,2022-06-18,T00211,P093,2024-03-29 14:35:12,4,1219.76,304.94,2579.8199999999997,3,859.9399999999999,3,0
C0008,David Li,North America,2024-01-13,T00536,P067,2024-09-22 06:13:59,1,300.68,300.68,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00644,P095,2024-06-13 09:13:19,1,227.26,227.26,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00863,P038,2024-11-08 20:46:29,1,147.22,147.22,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00425,P068,2024-08-01 14:20:03,1,447.23,447.23,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00815,P031,2024-03-26 20:30:49,2,392.8,196.4,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00101,P052,2024-09-16 22:10:13,4,1419.24,354.81,4271.61,10,427.16099999999994,10,1
C0008,David Li,North America,2024-01-13,T00329,P035,2024-12-17 04:05:00,4,122.36,30.59,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00860,P004,2024-08-22 03:25:32,2,191.38,95.69,4271.61,10,427.16099999999994,10,0
C0008,David Li,North America,2024-01-13,T00730,P094,2024-01-22 19:40:43,2,894.68,447.34,4271.61,10,427.16099999999994,10,1
